# data from ifeffit
#------------------------
#   energy    j0        j         xmu
  7456.6645        142970.00        65239.100       0.78457584
  7460.3921        142437.00        65332.100       0.77941630
  7464.1239        141862.00        65400.100       0.77433097
  7467.8598        141290.00        65499.100       0.76877811
  7471.5999        140702.00        65548.100       0.76385995
  7475.3442        140177.00        65631.100       0.75885624
  7479.0926        139613.00        65698.100       0.75380430
  7482.8453        139026.00        65743.100       0.74890624
  7486.6021        138503.00        65819.100       0.74398192
  7490.3632        137925.00        65864.100       0.73911653
  7494.1284        137405.00        65950.100       0.73403437
  7497.8979        136729.00        65955.100       0.72902666
  7501.6717        136211.00        66015.100       0.72432165
  7505.4496        135625.00        66058.100       0.71935907
  7509.2318        135057.00        66128.100       0.71410314
  7513.0182        134438.00        66146.100       0.70923719
  7516.8089        133935.00        66234.100       0.70415917
  7520.6039        133325.00        66255.100       0.69927731
  7524.4031        132812.00        66296.100       0.69480352
  7528.2066        132215.00        66303.100       0.69019273
  7532.0144        131612.00        66306.100       0.68557630
  7535.8264        131018.00        66315.100       0.68091709
  7539.6428        130483.00        66355.100       0.67622233
  7543.4634        129879.00        66356.100       0.67156755
  7547.2884        129401.00        66448.100       0.66649492
  7551.1177        128748.00        66451.100       0.66139067
  7554.9513        128202.00        66522.100       0.65607292
  7558.7892        127674.00        66596.100       0.65083412
  7562.6315        127054.00        66613.100       0.64571094
  7566.4781        126536.00        66669.100       0.64078528
  7570.3291        125919.00        66672.100       0.63585227
  7574.1844        125355.00        66705.100       0.63086830
  7578.0441        124775.00        66713.100       0.62611078
  7581.9082        124233.00        66746.100       0.62126297
  7585.7766        123760.00        66821.100       0.61632531
  7589.6495        123144.00        66826.100       0.61126068
  7593.5267        122510.00        66794.100       0.60657791
  7597.4083        121953.00        66809.100       0.60179643
  7601.2943        121446.00        66850.100       0.59701692
  7605.1848        120790.00        66822.100       0.59201964
  7609.0797        120197.00        66813.100       0.58723289
  7612.9790        119653.00        66829.100       0.58245727
  7616.8827        119114.00        66848.100       0.57765814
  7620.7909        118588.00        66876.100       0.57281365
  7624.7035        117955.00        66843.100       0.56795511
  7628.6206        117459.00        66885.100       0.56311311
  7632.5422        116831.00        66861.100       0.55811111
  7636.4682        116258.00        66860.100       0.55320948
  7640.3988        115718.00        66883.100       0.54820988
  7644.3338        115154.00        66873.100       0.54347357
  7648.2733        114606.00        66877.100       0.53864355
  7652.2173        114031.00        66863.100       0.53382310
  7656.1658        113528.00        66889.100       0.52901348
  7660.1188        112790.00        66780.100       0.52412255
  7664.0764        111943.00        66573.100       0.51968922
  7668.0385        111432.00        66593.100       0.51481357
  7672.0051        110718.00        66497.100       0.50982809
  7675.9763        110159.00        66455.100       0.50539825
  7679.9521        109404.00        66328.100       0.50043381
  7683.9324        108427.00        66062.100       0.49548193
  7687.9172        106263.00        65301.100       0.48690827
  7691.9067        105486.00        64007.100       0.49958423
  7695.9007        108229.00        66982.100       0.47982393
  7699.8994        106500.00        66072.100       0.47739842
  7703.9026        103581.00        64385.100       0.47547168
  7707.9105        109276.00        68440.100       0.46791788
  7711.9229        107743.00        67655.100       0.46532602
  7715.9400        106770.00        67403.100       0.45998598
  7719.9617        105931.00        67214.100       0.45490489
  7723.9881        105256.00        67095.100       0.45028446
  7728.0191        104565.00        66989.100       0.44527897
  7732.0547        103945.00        66907.100       0.44055682
  7736.0951        103391.00        66865.100       0.43584076
  7740.1400        102833.00        66813.100       0.43120714
  7744.1897        102356.00        66820.100       0.42645300
  7748.2441        101759.00        66747.100       0.42169642
  7752.3031        101232.00        66714.100       0.41699859
  7756.3669        100773.00        66706.100       0.41257406
  7760.4353        100151.00        66616.100       0.40773276
  7764.5085        99631.500        66583.100       0.40302759
  7768.5864        99104.500        66543.100       0.39832499
  7772.6691        98503.500        66447.100       0.39368594
  7776.7565        97968.500        66382.100       0.38921856
  7780.8486        97432.500        66332.100       0.38448589
  7784.9455        96968.500        66316.100       0.37995348
  7789.0471        96366.500        66208.100       0.37535582
  7793.1536        95896.500        66176.100       0.37095011
  7797.2648        95377.500        66118.100       0.36640016
  7801.3808        94816.500        66034.100       0.36177217
  7805.5016        94331.500        66005.100       0.35708316
  7809.6272        93720.500        65852.100       0.35290563
  7813.7576        93223.500        65808.100       0.34825690
  7817.8928        92711.500        65744.100       0.34372259
  7822.0329        92165.500        65671.100       0.33892692
