# data: r, chi, fit, path1, path2
#------------------------
#   r         chir_mag       chir_mag      chir_mag        chir_mag        chir_re       chir_re
  4.7246608       0.26156591       0.13745359E-02   0.73018687E-03   0.21139564E-02  -0.11963164      -0.13653860E-02
  4.7553404       0.25721031       0.13706520E-02   0.74623989E-03   0.21308806E-02  -0.28087339E-01  -0.13370026E-02
  4.7860201       0.25181197       0.13859127E-02   0.76030071E-03   0.21530277E-02   0.65642436E-01  -0.13085796E-02
  4.8166997       0.24513479       0.14093377E-02   0.77332510E-03   0.21758205E-02   0.14742518      -0.12612362E-02
  4.8473793       0.23696402       0.14287726E-02   0.78681874E-03   0.21982323E-02   0.20381339      -0.11784643E-02
  4.8780589       0.22717942       0.14387745E-02   0.80161712E-03   0.22228412E-02   0.22505623      -0.10585135E-02
  4.9087385       0.21581065       0.14426804E-02   0.81707838E-03   0.22526563E-02   0.20806016      -0.91263687E-03
  4.9394181       0.20305887       0.14489081E-02   0.83104197E-03   0.22871983E-02   0.15793890      -0.75244414E-03
  4.9700978       0.18928108       0.14642547E-02   0.84049858E-03   0.23209596E-02   0.87058845E-01  -0.57885742E-03
  5.0007774       0.17494612       0.14887353E-02   0.84258190E-03   0.23455865E-02   0.11539697E-01  -0.38278102E-03
  5.0314570       0.16057983       0.15157599E-02   0.83546526E-03   0.23543450E-02  -0.53549000E-01  -0.15632184E-03
  5.0621366       0.14671906       0.15371372E-02   0.81893738E-03   0.23460735E-02  -0.98337706E-01   0.96320137E-04
  5.0928162       0.13389022       0.15487545E-02   0.79462927E-03   0.23263802E-02  -0.12001552       0.35862157E-03
  5.1234958       0.12261642       0.15531563E-02   0.76595327E-03   0.23052656E-02  -0.12192793       0.61237977E-03
  5.1541754       0.11344141       0.15576422E-02   0.73778576E-03   0.22920277E-02  -0.11074359       0.84906980E-03
  5.1848551       0.10694131       0.15688752E-02   0.71581926E-03   0.22900563E-02  -0.93208891E-01   0.10706339E-02
  5.2155347       0.10368583       0.15872219E-02   0.70545209E-03   0.22947357E-02  -0.73813657E-01   0.12778110E-02
  5.2462143       0.10412966       0.16047793E-02   0.71030240E-03   0.22957484E-02  -0.53926409E-01   0.14558618E-02
  5.2768939       0.10847231       0.16083876E-02   0.73095799E-03   0.22819196E-02  -0.32221481E-01   0.15712452E-02
  5.3075735       0.11657271       0.15851464E-02   0.76478760E-03   0.22454830E-02  -0.59166777E-02   0.15848551E-02
  5.3382531       0.12796253       0.15270441E-02   0.80696607E-03   0.21838750E-02   0.27571926E-01   0.14742268E-02
  5.3689328       0.14191565       0.14330234E-02   0.85200789E-03   0.20990344E-02   0.68824684E-01   0.12495481E-02
  5.3996124       0.15751551       0.13084956E-02   0.89504567E-03   0.19953830E-02   0.11484384       0.95251921E-03
  5.4302920       0.17370954       0.11630660E-02   0.93256735E-03   0.18780507E-02   0.15837046       0.63944631E-03
  5.4609716       0.18936868       0.10074927E-02   0.96266003E-03   0.17525793E-02   0.18882281       0.36033371E-03
  5.4916512       0.20336445       0.85110343E-03   0.98488002E-03   0.16263309E-02   0.19512045       0.14626154E-03
  5.5223308       0.21465955       0.70099586E-03   0.99985587E-03   0.15104304E-02   0.16973000       0.87693562E-05
  5.5530105       0.22239838       0.56404272E-03   0.10087393E-02   0.14197987E-02   0.11238186      -0.54524660E-04
  5.5836901       0.22598130       0.45167974E-03   0.10126494E-02   0.13686414E-02   0.31680470E-01  -0.56150859E-04
  5.6143697       0.22511061       0.38368662E-03   0.10122610E-02   0.13619185E-02  -0.56453601E-01  -0.19109121E-04
  5.6450493       0.21980173       0.37637880E-03   0.10076397E-02   0.13895592E-02  -0.13320478       0.23857115E-04
  5.6757289       0.21035992       0.41603831E-03   0.99832451E-03   0.14300173E-02  -0.18253180       0.38311242E-04
  5.7064085       0.19732888       0.46802204E-03   0.98356548E-03   0.14599066E-02  -0.19590756       0.29805126E-05
  5.7370881       0.18142150       0.50468745E-03   0.96259035E-03   0.14620296E-02  -0.17439677      -0.77665955E-04
  5.7677678       0.16344506       0.51209649E-03   0.93480870E-03   0.14289739E-02  -0.12750412      -0.17402023E-03
  5.7984474       0.14423311       0.48835525E-03   0.89993370E-03   0.13633490E-02  -0.69499956E-01  -0.24803037E-03
  5.8291270       0.12459392       0.44301807E-03   0.85805631E-03   0.12759987E-02  -0.14749807E-01  -0.27672829E-03
  5.8598066       0.10528374       0.39739024E-03   0.80972059E-03   0.11827859E-02   0.26304207E-01  -0.26691124E-03
  5.8904862       0.87011744E-01   0.37991744E-03   0.75602049E-03   0.11001621E-02   0.49332438E-01  -0.25048938E-03
  5.9211658       0.70485262E-01   0.40626035E-03   0.69869250E-03   0.10401492E-02   0.56064436E-01  -0.26343187E-03
  5.9518455       0.56500195E-01   0.46307518E-03   0.64013874E-03   0.10066551E-02   0.52342377E-01  -0.32274904E-03
  5.9825251       0.46031926E-01   0.52492081E-03   0.58329986E-03   0.99552363E-03   0.45183372E-01  -0.41679292E-03
  6.0132047       0.40074257E-01   0.57332157E-03   0.53131497E-03   0.99810957E-03   0.39980476E-01  -0.51400506E-03
  6.0438843       0.38848052E-01   0.60010002E-03   0.48697217E-03   0.10051796E-02   0.38822435E-01  -0.58223739E-03
  6.0745639       0.41142141E-01   0.60504112E-03   0.45208740E-03   0.10088495E-02   0.40418403E-01  -0.60477305E-03
  6.1052435       0.45113561E-01   0.59281029E-03   0.42710948E-03   0.10030629E-02   0.41438106E-01  -0.58387488E-03
  6.1359232       0.49351602E-01   0.56977016E-03   0.41124478E-03   0.98410100E-03   0.38496922E-01  -0.53316606E-03
  6.1666028       0.53080762E-01   0.54128460E-03   0.40307263E-03   0.95180957E-03   0.29806522E-01  -0.46753449E-03
  6.1972824       0.55987607E-01   0.51063504E-03   0.40123065E-03   0.91111688E-03   0.15786967E-01  -0.39829000E-03
  6.2279620       0.58063577E-01   0.48025585E-03   0.40473541E-03   0.87258358E-03  -0.14541037E-02  -0.33428164E-03
  6.2586416       0.59500482E-01   0.45439761E-03   0.41286384E-03   0.85013267E-03  -0.19271442E-01  -0.28372700E-03
  6.2893212       0.60596710E-01   0.44058220E-03   0.42485187E-03   0.85485528E-03  -0.35509092E-01  -0.25193726E-03
  6.3200008       0.61649528E-01   0.44676213E-03   0.43971063E-03   0.88806709E-03  -0.48870572E-01  -0.23587672E-03
  6.3506805       0.62843862E-01   0.47477495E-03   0.45627043E-03   0.94043358E-03  -0.58609117E-01  -0.22149400E-03
  6.3813601       0.64176840E-01   0.51731076E-03   0.47335310E-03   0.99820939E-03  -0.63970399E-01  -0.18874694E-03
  6.4120397       0.65454704E-01   0.56234770E-03   0.48990858E-03   0.10502702E-02  -0.63934425E-01  -0.12272424E-03
  6.4427193       0.66361129E-01   0.59949746E-03   0.50502974E-03   0.10915374E-02  -0.57531193E-01  -0.23114715E-04
  6.4733989       0.66558900E-01   0.62367230E-03   0.51787645E-03   0.11228004E-02  -0.44556374E-01   0.95600220E-04
  6.5040785       0.65782003E-01   0.63606357E-03   0.52760835E-03   0.11482335E-02  -0.26198710E-01   0.21396282E-03
  6.5347582       0.63894343E-01   0.64303824E-03   0.53341470E-03   0.11720004E-02  -0.51117717E-02   0.32002930E-03
