# data from ifeffit
#------------------------
#   r         chir_mag       chir_mag      chir_re       chir_re
  6.1972824       0.61131534E-01   0.25589947E-03   0.15401510E-01   0.10674836E-03
  6.2279620       0.63398224E-01   0.25601914E-03  -0.34938893E-02   0.10275665E-03
  6.2586416       0.64948214E-01   0.25824914E-03  -0.22716952E-01   0.10703376E-03
  6.2893212       0.66093083E-01   0.27244900E-03  -0.39962188E-01   0.12044036E-03
  6.3200008       0.67178581E-01   0.30198410E-03  -0.53949779E-01   0.13421112E-03
  6.3506805       0.68445549E-01   0.34012066E-03  -0.64073478E-01   0.13526078E-03
  6.3813601       0.69916821E-01   0.37616054E-03  -0.69703003E-01   0.11501274E-03
  6.4120397       0.71370516E-01   0.40216251E-03  -0.69794551E-01   0.74973610E-04
  6.4427193       0.72414853E-01   0.41566220E-03  -0.63201227E-01   0.24983186E-04
  6.4733989       0.72620431E-01   0.41940858E-03  -0.49531918E-01  -0.24146435E-04
  6.5040785       0.71648299E-01   0.41891659E-03  -0.29964339E-01  -0.67615873E-04
  6.5347582       0.69335014E-01   0.41848469E-03  -0.73885071E-02  -0.10781834E-03
  6.5654378       0.65724172E-01   0.41784410E-03   0.14334176E-01  -0.14913819E-03
  6.5961174       0.61049016E-01   0.41219547E-03   0.31644173E-01  -0.19102369E-03
  6.6267970       0.55675695E-01   0.39563344E-03   0.42401096E-01  -0.22542693E-03
  6.6574766       0.50019040E-01   0.36528876E-03   0.46274576E-01  -0.24121037E-03
  6.6881562       0.44447661E-01   0.32426603E-03   0.44315366E-01  -0.23247177E-03
  6.7188359       0.39204029E-01   0.28303604E-03   0.38110913E-01  -0.20441272E-03
  6.7495155       0.34371802E-01   0.25771491E-03   0.29110604E-01  -0.17201692E-03
  6.7801951       0.29912161E-01   0.26006657E-03   0.18472784E-01  -0.15215412E-03
  6.8108747       0.25757440E-01   0.28527189E-03   0.73386622E-02  -0.15463023E-03
  6.8415543       0.21917287E-01   0.31851841E-03  -0.28820314E-02  -0.17837652E-03
  6.8722339       0.18548066E-01   0.34912754E-03  -0.10595030E-01  -0.21494672E-03
  6.9029135       0.15945473E-01   0.37432511E-03  -0.14516066E-01  -0.25595460E-03
  6.9335932       0.14412249E-01   0.39651337E-03  -0.14245259E-01  -0.29834781E-03
  6.9642728       0.14017358E-01   0.41878197E-03  -0.10478984E-01  -0.34353227E-03
  6.9949524       0.14508946E-01   0.44108872E-03  -0.46529909E-02  -0.39156655E-03
  7.0256320       0.15560689E-01   0.45932586E-03   0.17821133E-02  -0.43576931E-03
  7.0563116       0.17028779E-01   0.46740163E-03   0.79785936E-02  -0.46286219E-03
  7.0869912       0.18963299E-01   0.46025420E-03   0.13793995E-01  -0.45939054E-03
  7.1176709       0.21457730E-01   0.43595687E-03   0.19330482E-01  -0.42008826E-03
  7.1483505       0.24500346E-01   0.39638312E-03   0.24261879E-01  -0.35207643E-03
  7.1790301       0.27929530E-01   0.34660640E-03   0.27455427E-01  -0.27170711E-03
  7.2097097       0.31484835E-01   0.29333983E-03   0.27206126E-01  -0.19621410E-03
  7.2403893       0.34886379E-01   0.24275153E-03   0.22004817E-01  -0.13598122E-03
  7.2710689       0.37896537E-01   0.19829677E-03   0.11426190E-01  -0.92433105E-04
  7.3017486       0.40353345E-01   0.15987153E-03  -0.33436983E-02  -0.62034986E-04
  7.3324282       0.42180176E-01   0.12557609E-03  -0.19608019E-01  -0.42261080E-04
  7.3631078       0.43378861E-01   0.95722296E-04  -0.33830736E-01  -0.34251875E-04
  7.3937874       0.44013022E-01   0.77306087E-04  -0.42591094E-01  -0.40011595E-04
  7.4244670       0.44187537E-01   0.80996672E-04  -0.43494688E-01  -0.56796464E-04
  7.4551466       0.44028414E-01   0.10294755E-03  -0.35817025E-01  -0.73931222E-04
  7.4858262       0.43664756E-01   0.13084253E-03  -0.20773666E-01  -0.75584683E-04
