# data from ifeffit
#------------------------
#   x1        y1        x2        y2
  3.4535985        1.8477870        3.1027892        1.9957529
  3.4427935        1.8394755        3.0959591        1.9904990
  3.4319530        1.8311794        3.0891066        1.9852549
  3.4210774        1.8228991        3.0822320        1.9800207
  3.4101672        1.8146349        3.0753354        1.9747967
  3.3992227        1.8063870        3.0684171        1.9695831
  3.3882443        1.7981559        3.0614775        1.9643801
  3.3772325        1.7899418        3.0545167        1.9591877
  3.3661876        1.7817450        3.0475350        1.9540064
  3.3551102        1.7735658        3.0405327        1.9488361
  3.3440005        1.7654046        3.0335101        1.9436773
  3.3328591        1.7572616        3.0264674        1.9385299
  3.3216863        1.7491371        3.0194048        1.9333943
  3.3104826        1.7410316        3.0123227        1.9282706
  3.2992484        1.7329451        3.0052213        1.9231590
  3.2879841        1.7248782        2.9981009        1.9180597
  3.2766901        1.7168310        2.9909618        1.9129729
  3.2653669        1.7088039        2.9838041        1.9078988
  3.2540148        1.7007972        2.9766283        1.9028376
  3.2426344        1.6928111        2.9694345        1.8977894
  3.2312260        1.6848460        2.9622230        1.8927546
  3.2197901        1.6769022        2.9549941        1.8877331
  3.2083271        1.6689800        2.9477481        1.8827253
  3.1968374        1.6610797        2.9404852        1.8777314
  3.1853214        1.6532015        2.9332058        1.8727514
  3.1737797        1.6453458        2.9259100        1.8677856
  3.1622126        1.6375128        2.9185982        1.8628343
  3.1506206        1.6297030        2.9112706        1.8578975
  3.1390041        1.6219164        2.9039276        1.8529755
  3.1273635        1.6141536        2.8965694        1.8480684
  3.1156993        1.6064146        2.8891962        1.8431764
  3.1040119        1.5986999        2.8818083        1.8382998
  3.0923018        1.5910097        2.8744061        1.8334387
  3.0805694        1.5833443        2.8669898        1.8285933
  3.0688151        1.5757041        2.8595597        1.8237637
  3.0570394        1.5680892        2.8521160        1.8189501
  3.0452427        1.5605000        2.8446591        1.8141528
  3.0334255        1.5529367        2.8371892        1.8093720
  3.0215882        1.5453997        2.8297066        1.8046076
  3.0097313        1.5378892        2.8222116        1.7998601
  2.9978552        1.5304055        2.8147045        1.7951295
  2.9859604        1.5229489        2.8071855        1.7904161
  2.9740472        1.5155197        2.7996550        1.7857199
  2.9621162        1.5081182        2.7921132        1.7810412
  2.9501678        1.5007445        2.7845603        1.7763802
  2.9382025        1.4933991        2.7769968        1.7717370
  2.9262206        1.4860822        2.7694228        1.7671118
  2.9142228        1.4787940        2.7618387        1.7625048
  2.9022093        1.4715349        2.7542447        1.7579162
  2.8901806        1.4643050        2.7466412        1.7533461
  2.8781373        1.4571048        2.7390284        1.7487946
  2.8660798        1.4499344        2.7314066        1.7442621
  2.8540084        1.4427941        2.7237760        1.7397486
  2.8419238        1.4356842        2.7161370        1.7352543
  2.8298262        1.4286050        2.7084899        1.7307793
  2.8177163        1.4215567        2.7008350        1.7263240
  2.8055944        1.4145396        2.6931725        1.7218883
  2.7934609        1.4075540        2.6855027        1.7174725
  2.7813165        1.4006000        2.6778259        1.7130768
  2.7691614        1.3936781        2.6701425        1.7087013
  2.7569962        1.3867884        2.6624526        1.7043462
  2.7448214        1.3799311        2.6547566        1.7000116
  2.7326373        1.3731067        2.6470548        1.6956977
  2.7204444        1.3663152        2.6393474        1.6914047
  2.7082433        1.3595571        2.6316349        1.6871327
  2.6960343        1.3528324        2.6239173        1.6828819
  2.6838179        1.3461415        2.6161951        1.6786525
  2.6715946        1.3394847        2.6084685        1.6744446
  2.6593649        1.3328621        2.6007378        1.6702583
  2.6471291        1.3262741        2.5930033        1.6660939
  2.6348878        1.3197209        2.5852654        1.6619514
  2.6226415        1.3132026        2.5775242        1.6578311
  2.6103905        1.3067197        2.5697801        1.6537331
  2.5981353        1.3002722        2.5620334        1.6496575
  2.5858765        1.2938605        2.5542843        1.6456046
  2.5736144        1.2874848        2.5465332        1.6415744
  2.5613496        1.2811454        2.5387803        1.6375671
  2.5490825        1.2748424        2.5310260        1.6335828
  2.5368135        1.2685761        2.5232705        1.6296218
  2.5245431        1.2623468        2.5155142        1.6256841
  2.5122718        1.2561547        2.5077572        1.6217700
  2.5000000        1.2500000        2.5000000        1.6178794
  2.4877282        1.2438829        2.4922428        1.6140127
  2.4754569        1.2378038        2.4844858        1.6101699
  2.4631865        1.2317627        2.4767295        1.6063513
  2.4509175        1.2257600        2.4689740        1.6025568
  2.4386504        1.2197958        2.4612197        1.5987867
