# data: r, chi, fit, path1, path2
#------------------------
#   r         chir_mag       chir_mag      chir_mag        chir_mag        chir_re       chir_re
  6.6574766       0.46700002E-01   0.89608973E-03   0.28571187E-03   0.11846355E-02   0.44236123E-01   0.89484604E-03
  6.6881562       0.41733533E-01   0.95259596E-03   0.26373747E-03   0.12093460E-02   0.41733533E-01   0.92307182E-03
  6.7188359       0.36949039E-01   0.10024191E-02   0.24093783E-03   0.12261744E-02   0.34982987E-01   0.89759128E-03
  6.7495155       0.32500413E-01   0.10415964E-02   0.22011828E-03   0.12360962E-02   0.25631428E-01   0.80808635E-03
  6.7801951       0.28451168E-01   0.10694241E-02   0.20428580E-03   0.12398346E-02   0.15086805E-01   0.65715896E-03
  6.8108747       0.24811866E-01   0.10876734E-02   0.19629613E-03   0.12368390E-02   0.45444923E-02   0.45664342E-03
  6.8415543       0.21600132E-01   0.10987592E-02   0.19830633E-03   0.12251126E-02  -0.48309913E-02   0.22117953E-03
  6.8722339       0.18892487E-01   0.11038053E-02   0.21111060E-03   0.12020145E-02  -0.11851934E-01  -0.35003798E-04
  6.9029135       0.16830837E-01   0.11016299E-02   0.23385367E-03   0.11655780E-02  -0.15524084E-01  -0.29603453E-03
  6.9335932       0.15555084E-01   0.10891763E-02   0.26440722E-03   0.11156484E-02  -0.15425516E-01  -0.54059448E-03
  6.9642728       0.15087228E-01   0.10630505E-02   0.30003627E-03   0.10543072E-02  -0.11963913E-01  -0.74206753E-03
  6.9949524       0.15286107E-01   0.10212649E-02   0.33794215E-03   0.98540716E-03  -0.62675052E-02  -0.87510378E-03
  7.0256320       0.15953164E-01   0.96434584E-03   0.37560718E-03   0.91340828E-03   0.29464629E-03  -0.92522945E-03
  7.0563116       0.16981842E-01   0.89538548E-03   0.41098579E-03   0.84202690E-03   0.66900773E-02  -0.89484803E-03
  7.0869912       0.18409168E-01   0.81904359E-03   0.44255568E-03   0.77338835E-03   0.12518186E-01  -0.80121681E-03
  7.1176709       0.20346604E-01   0.73985695E-03   0.46923523E-03   0.70820673E-03   0.17807262E-01  -0.66794161E-03
  7.1483505       0.22855796E-01   0.66054362E-03   0.49021019E-03   0.64692499E-03   0.22440565E-01  -0.51620327E-03
  7.1790301       0.25863875E-01   0.58117228E-03   0.50475394E-03   0.59107205E-03   0.25628957E-01  -0.36143096E-03
  7.2097097       0.29167269E-01   0.49976023E-03   0.51213481E-03   0.54382193E-03   0.25868920E-01  -0.21604041E-03
  7.2403893       0.32494879E-01   0.41403548E-03   0.51166640E-03   0.50905653E-03   0.21537437E-01  -0.93631404E-04
  7.2710689       0.35578605E-01   0.32346179E-03   0.50288898E-03   0.48919674E-03   0.11855597E-01  -0.91552668E-05
  7.3017486       0.38204554E-01   0.23101645E-03   0.48581058E-03   0.48349595E-03  -0.23212851E-02   0.26358056E-04
  7.3324282       0.40240866E-01   0.14658707E-03   0.46111296E-03   0.48870150E-03  -0.18371912E-01   0.12574789E-04
  7.3631078       0.41645427E-01   0.10166517E-03   0.43024841E-03   0.50165521E-03  -0.32567932E-01  -0.37694973E-04
  7.3937874       0.42457619E-01   0.13389912E-03   0.39540323E-03   0.52136236E-03  -0.41238018E-01  -0.10298406E-03
