# data from ifeffit
#------------------------
#   k         chikn       chikn       diff
  14.500000       0.15759718       0.15522047       -1.7623290
  14.550000       0.15001824       0.13839900      -0.83807547
  14.600000       0.14048320       0.14542856       -2.4945356
  14.650000       0.11649201       0.11485932       -1.8367305
  14.700000       0.99629516E-01   0.93930678E-01   -1.4301161
  14.750000       0.50253521E-01   0.69965416E-01   -3.9711895
  14.800000       0.33139635E-01   0.52316565E-01   -3.9176930
  14.850000       0.68723692E-02   0.19295000E-02   -1.5057131
  14.900000      -0.36906606E-01  -0.25949700E-01   -3.0956906
  14.950000      -0.58267281E-01  -0.39612035E-01   -3.8655246
  15.000000      -0.62340596E-01  -0.69477054E-01   -1.2863542
  15.050000      -0.88637512E-01  -0.88674122E-01   -1.9963391
  15.100000      -0.10174603      -0.98183158E-01   -2.3562867
  15.150000      -0.10189674      -0.10778179       -1.4114948
  15.200000      -0.11591445      -0.11343204       -2.2482410
  15.250000      -0.10555357      -0.11415222       -1.1401354
  15.300000      -0.96936281E-01  -0.95076171E-01   -2.1860110
  15.350000      -0.75563460E-01  -0.71888088E-01   -2.3675372
  15.400000      -0.58268017E-01  -0.58272550E-01   -1.9995467
  15.450000      -0.38237418E-01  -0.32925927E-01   -2.5311491
  15.500000      -0.19284200E-01  -0.11622320E-01   -2.7661881
  15.550000       0.45890619E-02   0.12186220E-02   -1.6629560
  15.600000       0.23051357E-01   0.33175911E-01   -3.0124554
  15.650000       0.50852973E-01   0.37490037E-01  -0.66370635
  15.700000       0.50703471E-01   0.62645950E-01   -3.1942479
  15.750000       0.80814415E-01   0.61521385E-01  -0.70696992E-01
  15.800000       0.68584166E-01   0.65836090E-01   -1.7251924
  15.850000       0.69312888E-01   0.75104866E-01   -2.5791978
  15.900000       0.56577690E-01   0.57677001E-01   -2.1099311
  15.950000       0.84869566E-01   0.71542355E-01  -0.66727888
  16.000000       0.56976345E-01   0.44112064E-01  -0.71357182
  16.050000       0.45401772E-01   0.33046917E-01  -0.76451450
  16.100000       0.32121633E-01   0.11316441E-01   0.80519162E-01
  16.150000       0.21549709E-01   0.31474403E-01   -2.9924695
  16.200000       0.86241562E-02   0.92083040E-02   -2.0584148
  16.250000      -0.91686336E-02  -0.38626767E-02   -2.5305957
  16.300000      -0.25383064E-01  -0.18516731E-01   -2.6866333
  16.350000      -0.30779868E-01  -0.35362321E-01   -1.5417547
  16.400000      -0.44357509E-01  -0.43888667E-01   -2.0468842
  16.450000      -0.47463411E-01  -0.41264249E-01   -2.6199162
  16.500000      -0.46408451E-01  -0.37405748E-01   -2.9002703
  16.550000      -0.47004959E-01  -0.54724921E-01   -1.2280038
  16.600000      -0.37555077E-01  -0.49836209E-01  -0.77188683
  16.650000      -0.49129085E-01  -0.40249669E-01   -2.8879417
  16.700000      -0.13859922E-01  -0.29152995E-01  -0.47069270
  16.750000      -0.29041004E-01  -0.15200127E-01   -3.3840876
  16.800000      -0.23314635E-01  -0.15837693E-01   -2.7476942
  16.850000      -0.14605192E-01  -0.50552880E-02   -2.9549904
  16.900000      -0.13460231E-01  -0.51243709E-02   -2.8335860
  16.950000       0.10593305E-02   0.43931839E-02   -2.3333853
  17.000000       0.22491239E-02   0.34155736E-01   -5.1906612
  17.050000       0.20523827E-01   0.31352920E-01   -3.0829093
  17.100000       0.24796932E-01   0.39756232E-01   -3.4959300
  17.150000       0.38841517E-01   0.32232251E-01   -1.3390734
  17.200000       0.35751328E-01   0.37832175E-01   -2.2080847
  17.250000       0.33024321E-01   0.35454998E-01   -2.2430678
  17.300000       0.31242478E-01   0.22603871E-01   -1.1361392
  17.350000       0.23445168E-01   0.16461951E-01   -1.3016784
  17.400000       0.33525170E-02   0.14226998E-01   -3.0874481
  17.450000       0.16394239E-01   0.18480015E-01   -2.2085776
  17.500000      -0.12069406E-01  -0.14617817E-01   -1.7451589
  17.550000      -0.12708793E-01   0.48771943E-02   -3.7585987
  17.600000      -0.37052407E-02  -0.15283000E-01  -0.84222407
  17.650000      -0.16902247E-01  -0.13243455E-01   -2.3658792
  17.700000      -0.20239193E-01  -0.17752783E-01   -2.2486411
  17.750000       0.36689930E-03  -0.24819401E-01   0.51863005
  17.800000      -0.20214614E-01  -0.12601812E-01   -2.7612802
  17.850000      -0.22295977E-01  -0.21913050E-01   -2.0382927
  17.900000      -0.49510032E-02  -0.30018168E-01   0.50671649
  17.950000      -0.16565521E-01  -0.31493822E-01  -0.50716992
  18.000000      -0.82979585E-02  -0.47759968E-02   -2.3521962
  18.050000      -0.57254692E-02  -0.11339891E-01   -1.4385578
  18.100000      -0.17509239E-01  -0.40547245E-02   -3.3454514
  18.150000      -0.14554635E-01  -0.52775417E-02   -2.9277093
  18.200000      -0.66853218E-04  -0.53451218E-02   -1.4721731
  18.250000       0.14764059E-01   0.59378674E-02   -1.1173808
  18.300000       0.12184703E-01  -0.13603890E-02  -0.64549078
  18.350000       0.16355763E-01   0.16563957E-01   -2.0208194
  18.400000       0.19745285E-01   0.35785870E-01   -3.6040585
  18.450000       0.10301862E-01   0.17156038E-01   -2.6854176
  18.500000       0.33404410E-01   0.17507398E-01  -0.41029878
  18.550000       0.99911583E-02   0.18991087E-01   -2.8999929
  18.600000       0.11282384E-01   0.26443671E-01   -3.5161286
  18.650000       0.13163842E-01   0.11123246E-01   -1.7959404
  18.700000       0.49281729E-02   0.58619327E-02   -2.0933760
  18.750000       0.10392528E-01   0.98359671E-02   -1.9443439
  18.800000       0.13518922E-01   0.41771313E-02   -1.0658210
  18.850000       0.58244681E-02   0.10925490E-01   -2.5101022
  18.900000      -0.84763712E-02   0.80360739E-02   -3.6512445
  18.950000      -0.32303848E-02   0.53195935E-03   -2.3762344
  19.000000      -0.10322460E-01  -0.31260953E-01   0.93849254E-01
  19.050000      -0.27430271E-02  -0.10632099E-01   -1.2110928
  19.100000      -0.29108720E-01  -0.13247791E-01   -3.5860928
  19.150000      -0.17777176E-01  -0.16897221E-01   -2.0879955
  19.200000      -0.11484922E-02  -0.54435457E-02   -1.5704946
  19.250000      -0.49252750E-02  -0.43621536E-02   -2.0563121
  19.300000      -0.94982589E-02  -0.21682407E-01  -0.78158523
  19.350000      -0.13228104E-02   0.13291126E-01   -3.4613936
  19.400000      -0.45298621E-02  -0.89061799E-02   -1.5623682
  19.450000      -0.17080186E-01  -0.68771405E-02   -3.0203046
  19.500000       0.96445003E-02   0.22732229E-01   -3.3087729
  19.550000       0.46586490E-02   0.14424382E-01   -2.9765733
  19.600000      -0.64279841E-02   0.54032841E-02   -3.1831268
  19.650000      -0.35969946E-02   0.13555507E-01   -3.7152502
  19.700000       0.20291030E-01   0.33534899E-02  -0.30624595
  19.750000       0.14631494E-01  -0.12630542E-01   0.72620362
  19.800000      -0.13610088E-01   0.45632357E-02   -3.8173324
  19.850000       0.44721802E-02   0.10083017E-01   -2.5610836
  19.900000      -0.14825299E-01   0.18967360E-02   -3.6722035
  19.950000       0.68841201E-02  -0.10804411E-01  -0.23114687
