# data from ifeffit
#------------------------
#   r         chir_mag     chir_re     chir_mag      chir_re      rw        resid
  6.4427193       0.14386328       0.13469951       0.35432324E-02   0.90063020E-03    0.0000000       -2.0000000
  6.4733989       0.15553667       0.13921651       0.34917588E-02   0.15398819E-02    0.0000000       -2.0000000
  6.5040785       0.18203160       0.14744285       0.34111134E-02   0.20854977E-02    0.0000000       -2.0000000
  6.5347582       0.21714230       0.13884628       0.33082105E-02   0.24993110E-02    0.0000000       -2.0000000
  6.5654378       0.25351994       0.92787190E-01   0.31958784E-02   0.27729423E-02    0.0000000       -2.0000000
  6.5961174       0.28536734       0.27975290E-02   0.30863529E-02   0.29199821E-02    0.0000000       -2.0000000
  6.6267970       0.30874362      -0.11573207       0.29841828E-02   0.29551814E-02    0.0000000       -2.0000000
  6.6574766       0.32136620      -0.22974496       0.28829112E-02   0.28786451E-02    0.0000000       -2.0000000
  6.6881562       0.32239049      -0.30273025       0.27684052E-02   0.26800786E-02    0.0000000       -2.0000000
  6.7188359       0.31216970      -0.31121311       0.26272865E-02   0.23609342E-02    0.0000000       -2.0000000
  6.7495155       0.29196781      -0.25481710       0.24557390E-02   0.19547434E-02    0.0000000       -2.0000000
  6.7801951       0.26363440      -0.15532447       0.22642989E-02   0.15244101E-02    0.0000000       -2.0000000
  6.8108747       0.22927698      -0.46334376E-01   0.20759029E-02   0.11334446E-02    0.0000000       -2.0000000
  6.8415543       0.19098075       0.40555373E-01   0.19158369E-02   0.81171269E-03    0.0000000       -2.0000000
  6.8722339       0.15063832       0.86697146E-01   0.17960694E-02   0.54415909E-03    0.0000000       -2.0000000
  6.9029135       0.11000557       0.90865958E-01   0.17046759E-02   0.29410312E-03    0.0000000       -2.0000000
  6.9335932       0.71459984E-01   0.67121927E-01   0.16120979E-02   0.43701897E-04    0.0000000       -2.0000000
  6.9642728       0.42614560E-01   0.38093045E-01   0.14905467E-02  -0.18227252E-03    0.0000000       -2.0000000
  6.9949524       0.46901508E-01   0.26182436E-01   0.13327140E-02  -0.33153561E-03    0.0000000       -2.0000000
  7.0256320       0.78672695E-01   0.44951945E-01   0.11637175E-02  -0.36878378E-03    0.0000000       -2.0000000
  7.0563116       0.11708560       0.92917117E-01   0.10438770E-02  -0.31434746E-03    0.0000000       -2.0000000
  7.0869912       0.15699330       0.15212347       0.10397085E-02  -0.24409420E-03    0.0000000       -2.0000000
  7.1176709       0.19693863       0.19319882       0.11544130E-02  -0.24723179E-03    0.0000000       -2.0000000
  7.1483505       0.23602525       0.18639425       0.13223547E-02  -0.37189108E-03    0.0000000       -2.0000000
  7.1790301       0.27335334       0.11502778       0.14773302E-02  -0.59845653E-03    0.0000000       -2.0000000
  7.2097097       0.30791500      -0.14467258E-01   0.15863358E-02  -0.85963050E-03    0.0000000       -2.0000000
  7.2403893       0.33862593      -0.17121249       0.16506121E-02  -0.10911936E-02    0.0000000       -2.0000000
  7.2710689       0.36441691      -0.30907146       0.16991174E-02  -0.12757851E-02    0.0000000       -2.0000000
  7.3017486       0.38435068      -0.38316453       0.17750098E-02  -0.14493327E-02    0.0000000       -2.0000000
  7.3324282       0.39773804      -0.36677294       0.19126876E-02  -0.16683601E-02    0.0000000       -2.0000000
  7.3631078       0.40423166      -0.26131834       0.21178609E-02  -0.19633560E-02    0.0000000       -2.0000000
  7.3937874       0.40388198      -0.95351900E-01   0.23686909E-02  -0.23096515E-02    0.0000000       -2.0000000
  7.4244670       0.39714688       0.86422509E-01   0.26327670E-02  -0.26314968E-02    0.0000000       -2.0000000
  7.4551466       0.38485442       0.23882601       0.28816119E-02  -0.28320285E-02    0.0000000       -2.0000000
  7.4858262       0.36812490       0.32994941       0.30962112E-02  -0.28286793E-02    0.0000000       -2.0000000
  7.5165059       0.34826313       0.34814363       0.32664946E-02  -0.25766250E-02    0.0000000       -2.0000000
  7.5471855       0.32663479       0.30107423       0.33884003E-02  -0.20753779E-02    0.0000000       -2.0000000
  7.5778651       0.30454126       0.20908180       0.34607714E-02  -0.13640417E-02    0.0000000       -2.0000000
  7.6085447       0.28310691       0.96753778E-01   0.34832776E-02  -0.51264570E-03    0.0000000       -2.0000000
  7.6392243       0.26319166      -0.13833746E-01   0.34557246E-02   0.38743670E-03    0.0000000       -2.0000000
  7.6699039       0.24533913      -0.10655038       0.33784342E-02   0.12352472E-02    0.0000000       -2.0000000
  7.7005836       0.22976766      -0.17162311       0.32530316E-02   0.19354497E-02    0.0000000       -2.0000000
  7.7312632       0.21640353      -0.20448260       0.30830298E-02   0.24149705E-02    0.0000000       -2.0000000
  7.7619428       0.20494730      -0.20455673       0.28739109E-02   0.26362729E-02    0.0000000       -2.0000000
  7.7926224       0.19495676      -0.17477826       0.26327124E-02   0.26027489E-02    0.0000000       -2.0000000
  7.8233020       0.18593029      -0.12162035       0.23672969E-02   0.23546809E-02    0.0000000       -2.0000000
  7.8539816       0.17738231      -0.54867050E-01   0.20854960E-02   0.19577188E-02    0.0000000       -2.0000000
  7.8846612       0.16891159       0.13641447E-01   0.17942781E-02   0.14880732E-02    0.0000000       -2.0000000
  7.9153409       0.16026864       0.72427476E-01   0.14991073E-02   0.10190258E-02    0.0000000       -2.0000000
  7.9460205       0.15142597       0.11324470       0.12038039E-02   0.61203774E-03    0.0000000       -2.0000000
  7.9767001       0.14264466       0.13312087       0.91159321E-03   0.31308260E-03    0.0000000       -2.0000000
  8.0073797       0.13451216       0.13444691       0.62950466E-03   0.15186786E-03    0.0000000       -2.0000000
  8.0380593       0.12789880       0.12289010       0.38803936E-03   0.14012641E-03    0.0000000       -2.0000000
  8.0687389       0.12376352       0.10412000       0.31891010E-03   0.26673213E-03    0.0000000       -2.0000000
  8.0994186       0.12279464       0.81104742E-01   0.50416898E-03   0.49161208E-03    0.0000000       -2.0000000
  8.1300982       0.12504490       0.53485194E-01   0.77500356E-03   0.74438203E-03    0.0000000       -2.0000000
  8.1607778       0.12984030       0.19312899E-01   0.10554910E-02   0.93377111E-03    0.0000000       -2.0000000
  8.1914574       0.13605043      -0.22020025E-01   0.13210102E-02   0.96909838E-03    0.0000000       -2.0000000
