# data from ifeffit
#------------------------
#   k         e00       e01       e02
  11.650000      -0.22166522E-02  -0.50859324E-01  -0.31514644E-01
  11.700000      -0.98577384E-02  -0.61119273E-01  -0.36539828E-01
  11.750000      -0.34433856E-02  -0.54541559E-01  -0.28104638E-01
  11.800000       0.20692230E-02  -0.65443832E-01  -0.23489664E-01
  11.850000      -0.97585776E-03  -0.64902230E-01  -0.32061164E-01
  11.900000      -0.10085074E-02  -0.61015385E-01  -0.31836500E-01
  11.950000       0.22293755E-02  -0.66896766E-01  -0.35622435E-01
  12.000000      -0.25107515E-02  -0.60863307E-01  -0.41615908E-01
  12.050000      -0.83668655E-02  -0.73033231E-01  -0.28022558E-01
  12.100000       0.28150364E-02  -0.61112209E-01  -0.19857150E-01
  12.150000      -0.30672397E-02  -0.65079766E-01  -0.30569904E-01
  12.200000      -0.33037654E-02  -0.59376224E-01  -0.20981430E-01
  12.250000       0.22969719E-02  -0.58488771E-01  -0.22790244E-01
  12.300000      -0.33854546E-02  -0.64733912E-01  -0.35780110E-01
  12.350000       0.56008830E-02  -0.64721248E-01  -0.33759202E-01
  12.400000      -0.17910337E-02  -0.59773303E-01  -0.37163014E-01
  12.450000      -0.13423938E-01  -0.61886255E-01  -0.36900332E-01
  12.500000      -0.43992875E-02  -0.60045509E-01  -0.21437019E-01
  12.550000      -0.91076405E-02  -0.61953452E-01  -0.33168258E-01
  12.600000       0.14892868E-02  -0.53680194E-01  -0.29233622E-01
  12.650000       0.16200032E-02  -0.43188238E-01  -0.24333614E-01
  12.700000      -0.12576995E-01  -0.63895357E-01  -0.42437326E-01
  12.750000      -0.18037497E-01  -0.69578980E-01  -0.40686880E-01
  12.800000       0.80101870E-02  -0.49940304E-01  -0.24775479E-01
  12.850000      -0.67170050E-02  -0.64947443E-01  -0.35945489E-01
  12.900000       0.65657664E-02  -0.63876465E-01  -0.42304150E-01
  12.950000       0.92510527E-02  -0.54888197E-01  -0.17297276E-01
  13.000000       0.37409323E-02  -0.63847197E-01  -0.36456088E-01
  13.050000      -0.15766757E-02  -0.54707389E-01  -0.20001653E-01
  13.100000       0.61473262E-02  -0.51645421E-01  -0.25138866E-01
  13.150000      -0.10858054E-01  -0.54264644E-01  -0.30240241E-01
  13.200000      -0.12392270E-01  -0.69025271E-01  -0.39347915E-01
  13.250000      -0.36270045E-02  -0.63883623E-01  -0.42165301E-01
  13.300000       0.10438158E-01  -0.59063058E-01  -0.23244443E-01
  13.350000      -0.70104089E-02  -0.62099303E-01  -0.23719730E-01
  13.400000       0.50934935E-02  -0.68419068E-01  -0.34414194E-01
  13.450000       0.55190835E-02  -0.45157242E-01  -0.17963255E-01
  13.500000       0.35109651E-02  -0.67586463E-01  -0.19599283E-01
  13.550000      -0.14387060E-02  -0.72050255E-01  -0.40220166E-01
  13.600000      -0.60092747E-02  -0.64713913E-01  -0.27815820E-01
  13.650000       0.76860711E-02  -0.66836723E-01  -0.28046554E-01
  13.700000      -0.38665457E-02  -0.49973837E-01  -0.22037425E-01
  13.750000      -0.43816563E-02  -0.63861330E-01  -0.16846041E-01
  13.800000      -0.34537649E-03  -0.56805036E-01  -0.31404571E-01
  13.850000       0.59202215E-02  -0.59167405E-01  -0.24508090E-01
  13.900000       0.61959309E-02  -0.65517618E-01  -0.38844061E-01
  13.950000      -0.10695168E-02  -0.57287768E-01  -0.35210827E-01
  14.000000       0.13039237E-01  -0.65169517E-01  -0.19213718E-01
  14.050000       0.82279465E-03  -0.60704895E-01  -0.28851095E-01
  14.100000      -0.15956765E-02  -0.65125873E-01  -0.32466196E-01
  14.150000      -0.62401601E-02  -0.53826711E-01  -0.34410663E-01
  14.200000       0.23157617E-03  -0.54081141E-01  -0.33641575E-01
  14.250000       0.14779637E-02  -0.44553226E-01  -0.22030156E-01
  14.300000       0.12440839E-01  -0.60178739E-01  -0.23901182E-01
  14.350000      -0.35597486E-02  -0.66236756E-01  -0.27332200E-01
  14.400000      -0.71651449E-02  -0.63979555E-01  -0.29355928E-01
  14.450000       0.13691530E-01  -0.57487929E-01  -0.11496133E-01
  14.500000      -0.37255487E-02  -0.57981961E-01  -0.26688349E-01
  14.550000       0.58700213E-02  -0.49148241E-01  -0.24485981E-01
  14.600000       0.20442265E-02  -0.46910038E-01  -0.16691035E-01
  14.650000       0.10927670E-02  -0.67632776E-01  -0.33867896E-01
  14.700000      -0.20946886E-01  -0.66719747E-01  -0.48782058E-01
  14.750000      -0.60171935E-02  -0.58965788E-01  -0.21872935E-01
  14.800000       0.11960059E-01  -0.61204704E-01  -0.15532194E-01
  14.850000       0.88644287E-02  -0.66848202E-01  -0.43142025E-01
  14.900000       0.21836426E-02  -0.63338538E-01  -0.28352524E-01
  14.950000      -0.10622036E-01  -0.81463890E-01  -0.56546791E-01
  15.000000      -0.56583538E-02  -0.67146716E-01  -0.27496513E-01
  15.050000       0.63854568E-02  -0.72061214E-01  -0.38716455E-01
  15.100000      -0.10198538E-03  -0.65102687E-01  -0.39542658E-01
  15.150000      -0.11412180E-01  -0.66775641E-01  -0.24833912E-01
  15.200000       0.51302420E-02  -0.52795381E-01  -0.21682591E-01
  15.250000       0.21225441E-02  -0.55172413E-01  -0.29861574E-01
  15.300000       0.73728346E-03  -0.72119606E-01  -0.34364641E-01
  15.350000      -0.12270503E-02  -0.58867989E-01  -0.22193583E-01
  15.400000      -0.23589805E-01  -0.62425932E-01  -0.42232129E-01
  15.450000      -0.23410992E-01  -0.67834559E-01  -0.51804921E-01
  15.500000       0.24540824E-01  -0.48042713E-01  -0.19494683E-01
  15.550000      -0.14347685E-02  -0.66661784E-01  -0.43653882E-01
  15.600000      -0.12457167E-01  -0.70447958E-01  -0.38897772E-01
  15.650000       0.43386375E-02  -0.47954473E-01  -0.25754378E-01
  15.700000      -0.76752251E-02  -0.94139049E-01  -0.40831385E-01
  15.750000      -0.19917454E-02  -0.51631919E-01  -0.21064051E-01
  15.800000      -0.13853051E-01  -0.59125255E-01  -0.30901684E-01
  15.850000       0.30761673E-01  -0.49664045E-01  -0.25708403E-01
  15.900000      -0.95352627E-02  -0.58824845E-01  -0.45024331E-01
  15.950000      -0.57949349E-02  -0.79329757E-01  -0.36025093E-01
  16.000000       0.14061914E-02  -0.67812003E-01  -0.34754035E-01
  16.050000      -0.65139003E-02  -0.68111901E-01  -0.26198683E-01
  16.100000       0.11363686E-01  -0.66655956E-01  -0.31447824E-01
  16.150000      -0.27931406E-02  -0.59394333E-01  -0.28144457E-01
  16.200000       0.23829772E-02  -0.50865200E-01  -0.23986035E-01
  16.250000       0.14055127E-02  -0.56749854E-01  -0.10076057E-01
  16.300000       0.19513055E-02  -0.51619990E-01  -0.10606328E-01
  16.350000      -0.12829388E-01  -0.52383695E-01  -0.35390648E-01
  16.400000      -0.17431327E-01  -0.83697784E-01  -0.27248507E-01
  16.450000      -0.63607962E-04  -0.65126193E-01  -0.36396415E-01
  16.500000      -0.18579559E-02  -0.69168838E-01  -0.44267570E-01
  16.550000       0.41040373E-03  -0.40899142E-01  -0.34154397E-01
  16.600000      -0.16685977E-01  -0.61678761E-01  -0.27689044E-01
  16.650000      -0.90279419E-02  -0.68298468E-01  -0.36926325E-01
  16.700000      -0.55698457E-02  -0.48363438E-01  -0.30324004E-01
  16.750000      -0.21645483E-02  -0.77772411E-01  -0.42106180E-01
  16.800000       0.28709141E-03  -0.55804940E-01  -0.29214228E-01
  16.850000      -0.20492632E-02  -0.43920228E-01  -0.44232978E-01
  16.900000       0.19741802E-01  -0.43279327E-01  -0.57164358E-02
  16.950000       0.26522052E-01  -0.45312807E-01  -0.34399322E-01
  17.000000       0.14266749E-01  -0.42543397E-01  -0.66445907E-02
  17.050000      -0.73107137E-02  -0.53034758E-01  -0.15763352E-01
  17.100000       0.13971286E-01  -0.64230206E-01  -0.23211356E-01
  17.150000      -0.66289658E-02  -0.70281281E-01  -0.31967761E-01
  17.200000      -0.57984982E-02  -0.50022654E-01  -0.35685830E-01
  17.250000      -0.11093488E-01  -0.69793790E-01  -0.28209850E-01
  17.300000       0.21245616E-01  -0.57209589E-01  -0.37907373E-01
  17.350000       0.56716515E-02  -0.75421768E-01  -0.48058242E-01
  17.400000      -0.93841372E-03  -0.37791886E-01  -0.39345562E-01
  17.450000      -0.42497404E-02  -0.81627291E-01  -0.38294143E-01
  17.500000       0.27175737E-01  -0.40049464E-01  -0.16691844E-01
  17.550000       0.14790971E-01  -0.33232095E-01  -0.89401072E-02
  17.600000      -0.62300482E-03  -0.57339042E-01  -0.15218727E-01
  17.650000      -0.16808273E-01  -0.52564229E-01  -0.24658324E-01
  17.700000       0.69599960E-02  -0.38842657E-01  -0.82359157E-02
  17.750000      -0.34906946E-03  -0.80409093E-01  -0.52597816E-01
