# data from ifeffit
#------------------------
#   k         chik      hann3      kaiser3      kaiser5      welch3      parzen3      sine3
  10.650000       0.68595652E-01    1.0000000       0.83618356       0.77784819        1.0000000        1.0000000       0.88246514
  10.700000       0.91265755E-01    1.0000000       0.83033829       0.77024226        1.0000000        1.0000000       0.87808125
  10.750000       0.13988626        1.0000000       0.82441256       0.76255501        1.0000000        1.0000000       0.87362239
  10.800000       0.18483347        1.0000000       0.81840787       0.75478941        1.0000000        1.0000000       0.86908895
  10.850000       0.18157287        1.0000000       0.81232572       0.74694845        1.0000000        1.0000000       0.86448130
  10.900000       0.15832962        1.0000000       0.80616765       0.73903514        1.0000000        1.0000000       0.85979985
  10.950000       0.12570436        1.0000000       0.79993520       0.73105250        1.0000000        1.0000000       0.85504499
  11.000000       0.90884368E-01    1.0000000       0.79362992       0.72300359        1.0000000        1.0000000       0.85021714
  11.050000       0.54178691E-01    1.0000000       0.78725339       0.71489146        1.0000000        1.0000000       0.84531669
  11.100000       0.18178063E-01    1.0000000       0.78080720       0.70671916        1.0000000        1.0000000       0.84034407
  11.150000       0.67955030E-02    1.0000000       0.77429296       0.69848979        1.0000000        1.0000000       0.83529971
  11.200000      -0.59579493E-02    1.0000000       0.76771229       0.69020641        1.0000000        1.0000000       0.83018403
  11.250000      -0.42606699E-01    1.0000000       0.76106682       0.68187213        1.0000000        1.0000000       0.82499747
  11.300000      -0.60309051E-01    1.0000000       0.75435820       0.67349004        1.0000000        1.0000000       0.81974048
  11.350000      -0.73022548E-01    1.0000000       0.74758808       0.66506323        1.0000000        1.0000000       0.81441350
  11.400000      -0.88874563E-01    1.0000000       0.74075814       0.65659482        1.0000000        1.0000000       0.80901699
  11.450000      -0.82757835E-01    1.0000000       0.73387006       0.64808789        1.0000000        1.0000000       0.80355141
  11.500000      -0.76708971E-01    1.0000000       0.72692554       0.63954555        1.0000000        1.0000000       0.79801723
  11.550000      -0.79508591E-01    1.0000000       0.71992628       0.63097089        1.0000000        1.0000000       0.79241491
  11.600000      -0.61214699E-01    1.0000000       0.71287400       0.62236701        1.0000000        1.0000000       0.78674494
  11.650000      -0.49866191E-01    1.0000000       0.70577041       0.61373698        1.0000000        1.0000000       0.78100780
  11.700000      -0.57481951E-01    1.0000000       0.69861726       0.60508389        1.0000000        1.0000000       0.77520398
  11.750000       0.13892900E-01    1.0000000       0.69141628       0.59641079        1.0000000        1.0000000       0.76933397
  11.800000       0.26550468E-01    1.0000000       0.68416923       0.58772076        1.0000000        1.0000000       0.76339828
  11.850000       0.48534196E-01    1.0000000       0.67687786       0.57901681        1.0000000        1.0000000       0.75739742
  11.900000       0.76915873E-01    1.0000000       0.66954394       0.57030200        1.0000000        1.0000000       0.75133189
  11.950000       0.70504519E-01    1.0000000       0.66216923       0.56157932        1.0000000        1.0000000       0.74520221
  12.000000       0.45748843E-01   1.00000000       0.65475551       0.55285178       1.00000000       0.99999977       0.73900892
  12.050000       0.43999400E-01   0.99931475       0.64730456       0.54412234       0.99972221       0.98333310       0.73275253
  12.100000       0.36703391E-01   0.99726091       0.63981817       0.53539397       0.99888887       0.96666644       0.72643357
  12.150000       0.31355808E-01   0.99384412       0.63229812       0.52666960       0.99749998       0.94999978       0.72005260
  12.200000       0.10791578E-01   0.98907373       0.62474621       0.51795214       0.99555553       0.93333312       0.71361015
  12.250000      -0.33867148E-02   0.98296283       0.61716424       0.50924448       0.99305552       0.91666645       0.70710678
