# data from ifeffit
#------------------------
#   r         chir_h3      chir_p3      chir_k3      chir_k5
  7.7005836       0.41514943E-01   0.54283195        1.0371001        1.5387587
  7.7312632       0.40751739E-01   0.54197479        1.0352644        1.5375463
  7.7619428       0.40136178E-01   0.54109672        1.0336996        1.5361230
  7.7926224       0.39584780E-01   0.54017713        1.0324418        1.5345122
  7.8233020       0.38983870E-01   0.53917967        1.0314765        1.5327541
  7.8539816       0.38200828E-01   0.53804709        1.0307397        1.5308902
  7.8846612       0.37105637E-01   0.53670637        1.0301150        1.5289445
  7.9153409       0.35602099E-01   0.53508830        1.0294353        1.5269112
  7.9460205       0.33665316E-01   0.53316057        1.0285060        1.5247584
  7.9767001       0.31381374E-01   0.53096980        1.0271586        1.5224557
  8.0073797       0.28983562E-01   0.52868544        1.0253302        1.5200238
  8.0380593       0.26868305E-01   0.52662985        1.0231613        1.5176061
  8.0687389       0.25542834E-01   0.52525371        1.0210939        1.5155516
  8.0994186       0.25438981E-01   0.52499098        1.0198850        1.5144350
  8.1300982       0.26653524E-01   0.52601077        1.0202918        1.5147957
  8.1607778       0.28877259E-01   0.52808838        1.0224417        1.5166370
  8.1914574       0.31600007E-01   0.53074923        1.0257064        1.5194191
  8.2221370       0.34349182E-01   0.53350595        1.0292414        1.5225203
  8.2528166       0.36803242E-01   0.53599866        1.0323884        1.5254880
  8.2834963       0.38810249E-01   0.53803558        1.0347667        1.5280584
  8.3141759       0.40365286E-01   0.53958442        1.0362523        1.5301247
  8.3448555       0.41566875E-01   0.54073707        1.0369303        1.5317039
  8.3755351       0.42556981E-01   0.54165152        1.0370247        1.5328961
  8.4062147       0.43452602E-01   0.54247688        1.0368058        1.5338319
  8.4368943       0.44287272E-01   0.54328071        1.0364927        1.5346152
  8.4675739       0.44984260E-01   0.54400771        1.0361850        1.5352770
  8.4982536       0.45371462E-01   0.54448798        1.0358575        1.5357609
  8.5289332       0.45228388E-01   0.54448829        1.0354147        1.5359445
  8.5596128       0.44344273E-01   0.54378050        1.0347640        1.5356842
  8.5902924       0.42569284E-01   0.54220258        1.0338634        1.5348643
  8.6209720       0.39850411E-01   0.53969976        1.0327247        1.5334328
  8.6516516       0.36251943E-01   0.53634476        1.0313803        1.5314200
  8.6823313       0.31965171E-01   0.53234141        1.0298408        1.5289379
  8.7130109       0.27314682E-01   0.52801766        1.0280724        1.5261651
  8.7436905       0.22768496E-01   0.52381046        1.0260101        1.5233198
  8.7743701       0.18941493E-01   0.52022843        1.0236009        1.5206220
  8.8050497       0.16497184E-01   0.51773851        1.0208550        1.5182488
  8.8357293       0.15762602E-01   0.51652578        1.0178859        1.5162898
  8.8664090       0.16325288E-01   0.51630434        1.0149332        1.5147242
  8.8970886       0.17332795E-01   0.51648941        1.0123616        1.5134404
  8.9277682       0.18068942E-01   0.51654914        1.0105955        1.5122964
  8.9584478       0.18132139E-01   0.51617397        1.0098866        1.5111875
  8.9891274       0.17381282E-01   0.51527525        1.0100342        1.5100937
  9.0198070       0.15872810E-01   0.51394671        1.0105268        1.5091060
  9.0504866       0.13843122E-01   0.51244773        1.0109322        1.5084297
  9.0811663       0.11750126E-01   0.51120708        1.0110525        1.5083261
  9.1118459       0.10346870E-01   0.51075881        1.0109090        1.5089503
  9.1425255       0.10466150E-01   0.51145118        1.0107143        1.5102261
  9.1732051       0.12221503E-01   0.51315538        1.0108363        1.5119284
  9.2038847       0.14930914E-01   0.51544534        1.0116583        1.5138239
  9.2345643       0.17900297E-01   0.51791554        1.0133325        1.5157239
  9.2652440       0.20690520E-01   0.52027424        1.0156821        1.5174819
  9.2959236       0.23044787E-01   0.52232080        1.0183426        1.5189837
  9.3266032       0.24815985E-01   0.52391565        1.0209183        1.5201402
  9.3572828       0.25929527E-01   0.52496382        1.0230557        1.5208858
  9.3879624       0.26364322E-01   0.52540860        1.0244759        1.5211785
  9.4186420       0.26141079E-01   0.52523021        1.0249962        1.5210004
  9.4493217       0.25313246E-01   0.52444607        1.0245447        1.5203582
  9.4800013       0.23958507E-01   0.52310973        1.0231634        1.5192824
  9.5106809       0.22169933E-01   0.52130671        1.0209963        1.5178241
  9.5413605       0.20046529E-01   0.51914596        1.0182612        1.5160510
  9.5720401       0.17683664E-01   0.51674671        1.0152082        1.5140399
  9.6027197       0.15164771E-01   0.51422213        1.0120701        1.5118688
  9.6333993       0.12557290E-01   0.51166332        1.0090169        1.5096073
  9.6640790       0.99188887E-02   0.50913179        1.0061290        1.5073093
  9.6947586       0.73307007E-02   0.50667796        1.0034083        1.5050133
  9.7254382       0.50261978E-02   0.50444722        1.0009477        1.5027803
  9.7561178       0.38378665E-02   0.50314710        1.0020262        1.5012210
  9.7867974       0.49098750E-02   0.50412245        1.0045339        1.5026413
  9.8174770       0.74127822E-02   0.50658941        1.0069909        1.5049919
  9.8481567       0.10363453E-01   0.50951383        1.0092815        1.5074614
  9.8788363       0.13384480E-01   0.51253087        1.0113226        1.5099201
  9.9095159       0.16269519E-01   0.51542976        1.0130671        1.5122637
  9.9401955       0.18852780E-01   0.51803199        1.0145107        1.5143790
  9.9708751       0.20987010E-01   0.52017965        1.0156821        1.5161518
