# data from ifeffit
#------------------------
#   k         chi       chix      chix      chix      kwin
  13.450000      -0.27321899        1.6985806        2.7229501        4.4215307        1.0000000
  13.500000      -0.23617452        1.7376438        2.7761085        4.5137524        1.0000000
  13.550000      -0.19371852        1.7700351        2.8401305        4.6101656        1.0000000
  13.600000      -0.14702032        1.7950361        2.9114866        4.7065227        1.0000000
  13.650000      -0.97338852E-01    1.8121286        2.9863200        4.7984485        1.0000000
  13.700000      -0.45988918E-01    1.8210050        3.0606534        4.8816584        1.0000000
  13.750000       0.56933475E-02    1.8215727        3.1306008        4.9521734        1.0000000
  13.800000       0.56385057E-01    1.8139527        3.1925689        5.0065216        1.0000000
  13.850000       0.10481023        1.7984734        3.2434423        5.0419156        1.0000000
  13.900000       0.14977171        1.7756584        3.2807380        5.0563965        1.0000000
  13.950000       0.19018051        1.7462105        3.3027265        5.0489369        1.0000000
  14.000000       0.22508195        1.7109899        3.3085092        5.0194991        1.0000000
  14.050000       0.25367786        1.6709904        3.2980527        4.9690431        1.0000000
  14.100000       0.27534446        1.6273112        3.2721756        4.8994867        1.0000000
  14.150000       0.28964537        1.5811272        3.2324914        4.8136186        1.0000000
  14.200000       0.29633973        1.5336577        3.1813109        4.7149686        1.0000000
  14.250000       0.29538505        1.4861343        3.1215086        4.6076430        1.0000000
  14.300000       0.28693498        1.4397693        3.0563630        4.4961323        1.0000000
  14.350000       0.27133204        1.3957248        2.9893768        4.3851016        1.0000000
  14.400000       0.24909571        1.3550838        2.9240900        4.2791739        1.0000000
  14.450000       0.22090606        1.3188242        2.8638931        4.1827173        1.0000000
  14.500000       0.18758362        1.2877950        2.8118516        4.0996466       1.00000000
  14.550000       0.15006601        1.2626971        2.7705508        4.0332478       0.99931475
  14.600000       0.10938184        1.2440678        2.7419682        3.9860359       0.99726091
  14.650000       0.66622880E-01    1.2322699        2.7273804        3.9596502       0.99384412
  14.700000       0.22914981E-01    1.2274853        2.7273080        3.9547934       0.98907373
  14.750000      -0.20611344E-01    1.2297139        2.7415017        3.9712155       0.98296283
  14.800000      -0.62849939E-01    1.2387760        2.7689683        4.0077442       0.97552816
  14.850000      -0.10274691        1.2543207        2.8080363        4.0623571       0.96679010
  14.900000      -0.13932668        1.2758378        2.8564556        4.1322933       0.95677260
  14.950000      -0.17171560        1.3026732        2.9115251        4.2141983       0.94550312
  15.000000      -0.19916254        1.3340488        2.9702432        4.3042920       0.93301255
  15.050000      -0.22105591        1.3690842        3.0294702        4.3985544       0.91933512
  15.100000      -0.23693688        1.4068212        3.0860958        4.4929170       0.90450832
  15.150000      -0.24650838        1.4462497        3.1372016        4.5834513       0.88857280
  15.200000      -0.24963984        1.4863345        3.1802108        4.6665453       0.87157222
  15.250000      -0.24636754        1.5260423        3.2130175        4.7390598       0.85355320
  15.300000      -0.23689067        1.5643678        3.2340887        4.7984565       0.83456510
  15.350000      -0.22156329        1.6003596        3.2425340        4.8428937       0.81465999
  15.400000      -0.20088250        1.6331429        3.2381414        4.8712842       0.79389242
  15.450000      -0.17547306        1.6619408        3.2213752        4.8833160       0.77231931
  15.500000      -0.14606910        1.6860925        3.1933401        4.8794326       0.74999979
  15.550000      -0.11349335        1.7050680        3.1557111        4.8607790       0.72699504
  15.600000      -0.78634387E-01    1.7184790        3.1106351        4.8291140       0.70336811
  15.650000      -0.42422749E-01    1.7260868        3.0606096        4.7866964       0.67918376
  15.700000      -0.58062913E-02    1.7278051        3.0083456        4.7361507       0.65450829
  15.750000       0.30274385E-01    1.7236999        2.9566206        4.6803205       0.62940932
  15.800000       0.64909875E-01    1.7139844        2.9081323        4.6221167       0.60395564
  15.850000       0.97244674E-01    1.6990113        2.8653582        4.5643695       0.57821703
  15.900000       0.12649807        1.6792609        2.8304301        4.5096910       0.55226404
  15.950000       0.15198272        1.6553266        2.8050283        4.4603549       0.52616779
  16.000000       0.17312050        1.6278972        2.7903022        4.4181994       0.49999982
  16.050000       0.18945524        1.5977381        2.7868200        4.3845581       0.47383184
  16.100000       0.20066209        1.5656696        2.7945500        4.3602196       0.44773560
  16.150000       0.20655335        1.5325453        2.8128734        4.3454187       0.42178260
  16.200000       0.20708066        1.4992294        2.8406284        4.3398578       0.39604400
  16.250000       0.20233357        1.4665745        2.8761810        4.3427555       0.37059033
  16.300000       0.19253462        1.4353999        2.9175203        4.3529202       0.34549136
  16.350000       0.17803108        1.4064714        2.9623706        4.3688420       0.32081589
  16.400000       0.15928366        1.3804825        3.0083168        4.3887993       0.29663156
  16.450000       0.13685250        1.3580382        3.0529328        4.4109710       0.27300464
  16.500000       0.11138096        1.3396413        3.0939097        4.4335510       0.24999989
  16.550000       0.83577481E-01    1.3256815        3.1291741        4.4548556       0.22768039
  16.600000       0.54196190E-01    1.3164274        3.1569927        4.4734200       0.20610728
  16.650000       0.24016727E-01    1.3120221        3.1760562        4.4880783       0.18533972
  16.700000      -0.61762309E-02    1.3124823        3.1855400        4.4980223       0.16543462
  16.750000      -0.35613148E-01    1.3177000        3.1851373        4.5028373       0.14644654
  16.800000      -0.63559028E-01    1.3274478        3.1750656        4.5025134       0.12842753
  16.850000      -0.89331545E-01    1.3413872        3.1560445        4.4974317       0.11142697
  16.900000      -0.11231746        1.3590793        3.1292481        4.4883274       0.95491460E-01
  16.950000      -0.13198694        1.3799983        3.0962343        4.4762326       0.80664679E-01
  17.000000      -0.14790545        1.4035464        3.0588555        4.4624018       0.66987268E-01
  17.050000      -0.15974298        1.4290706        3.0191554        4.4482260       0.54496713E-01
  17.100000      -0.16728037        1.4558809        2.9792582        4.4351390       0.43227251E-01
  17.150000      -0.17041271        1.4832680        2.9412553        4.4245233       0.33209771E-01
  17.200000      -0.16914969        1.5105226        2.9070967        4.4176193       0.24471731E-01
  17.250000      -0.16361304        1.5369529        2.8784911        4.4154440       0.17037079E-01
  17.300000      -0.15403115        1.5619025        2.8568215        4.4187240       0.10926195E-01
  17.350000      -0.14073103        1.5847661        2.8430796        4.4278456       0.61558268E-02
  17.400000      -0.12412794        1.6050040        2.8378211        4.4428251       0.27390510E-02
  17.450000      -0.10471292        1.6221548        2.8411462        4.4633011       0.68523230E-03
  17.500000      -0.83038725E-01    1.6358454        2.8527036        4.4885490       0.10693949E-25
  17.550000      -0.59704345E-01    1.6457987        2.8717177        4.5175164        0.0000000
  17.600000      -0.35338749E-01    1.6518388        2.8970389        4.5488777        0.0000000
  17.650000      -0.10584163E-01    1.6538935        2.9272109        4.5811044        0.0000000
  17.700000       0.13920647E-01    1.6519936        2.9605541        4.6125477        0.0000000
  17.750000       0.37556650E-01    1.6462706        2.9952575        4.6415281        0.0000000
  17.800000       0.59739978E-01    1.6369504        3.0294775        4.6664279        0.0000000
  17.850000       0.79936130E-01    1.6243465        3.0614340        4.6857805        0.0000000
  17.900000       0.97672618E-01    1.6088493        3.0895035        4.6983528        0.0000000
  17.950000       0.11254974        1.5909149        3.1123001        4.7032150        0.0000000
  18.000000       0.12424930        1.5710520        3.1287436        4.6997957        0.0000000
  18.050000       0.13254097        1.5498077        3.1381095        4.6879172        0.0000000
  18.100000       0.13728636        1.5277527        3.1400592        4.6678119        0.0000000
  18.150000       0.13844060        1.5054663        3.1346497        4.6401160        0.0000000
  18.200000       0.13605146        1.4835210        3.1223223        4.6058433        0.0000000
  18.250000       0.13025614        1.4624687        3.1038708        4.5663395        0.0000000
