# data from ifeffit
#------------------------
#   k         chi       chi       chix
  13.950000       0.30272648      -0.31100093       0.99172555
  14.000000       0.30850923      -0.30135732        1.0071519
  14.050000       0.29805272      -0.27442876        1.0236240
  14.100000       0.27217555      -0.23206404        1.0401115
  14.150000       0.23249138      -0.17697645        1.0555149
  14.200000       0.18131086      -0.11257183        1.0687390
  14.250000       0.12150863      -0.42739131E-01    1.0787695
  14.300000       0.56362966E-01   0.28383495E-01    1.0847465
  14.350000      -0.10623201E-01   0.96653155E-01    1.0860300
  14.400000      -0.75909956E-01   0.15816285        1.0822529
  14.450000      -0.13610686       0.20946427        1.0733574
  14.500000      -0.18814837       0.24776021        1.0596118
  14.550000      -0.22944922       0.27105574        1.0416065
  14.600000      -0.25803182       0.27826027        1.0202284
  14.650000      -0.27261962       0.26923525       0.99661563
  14.700000      -0.27269198       0.24478574       0.97209375
  14.750000      -0.25849835       0.20659726       0.94809891
  14.800000      -0.23103174       0.15712262       0.92609088
  14.850000      -0.19196367       0.99426122E-01   0.90746246
  14.900000      -0.14354445       0.36994946E-01   0.89345050
  14.950000      -0.88474945E-01  -0.26470709E-01   0.88505435
  15.000000      -0.29756845E-01  -0.87276164E-01   0.88296699
  15.050000       0.29470203E-01  -0.14194661       0.88752359
  15.100000       0.86095816E-01  -0.18742490       0.89867091
  15.150000       0.13720159      -0.22124152       0.91596007
  15.200000       0.18021081      -0.24164739       0.93856341
  15.250000       0.21301755      -0.24770250       0.96531505
  15.300000       0.23408869      -0.23931579       0.99477290
  15.350000       0.24253404      -0.21723520        1.0252988
  15.400000       0.23814136      -0.18298895        1.0551524
  15.450000       0.22137519      -0.13878272        1.0825925
  15.500000       0.19334011      -0.87359244E-01    1.1059809
  15.550000       0.15571108      -0.31829342E-01    1.1238817
  15.600000       0.11063505       0.24515392E-01    1.1351504
  15.650000       0.60609637E-01   0.78396912E-01    1.1390065
  15.700000       0.83455805E-02   0.12674070        1.1350863
  15.750000      -0.43379431E-01   0.16685038        1.1234709
  15.800000      -0.91867743E-01   0.19655715        1.1046894
  15.850000      -0.13464177       0.21433581        1.0796940
  15.900000      -0.16956989       0.21938113        1.0498112
  15.950000      -0.19497171       0.21164112        1.0166694
  16.000000      -0.20969783       0.19180584       0.98210801
  16.050000      -0.21318002       0.16125332       0.94807330
  16.100000      -0.20545004       0.12195657       0.91650654
  16.150000      -0.18712658       0.76357814E-01   0.88923124
  16.200000      -0.15937159       0.27217822E-01   0.86784623
  16.250000      -0.12381897      -0.22550323E-01   0.85363071
  16.300000      -0.82479741E-01  -0.70053163E-01   0.84746710
  16.350000      -0.37629352E-01  -0.11258434       0.84978630
  16.400000       0.83168089E-02  -0.14777800       0.86053881
  16.450000       0.52932817E-01  -0.17373939       0.87919343
  16.500000       0.93909661E-01  -0.18914569       0.90476397
  16.550000       0.12917408      -0.19331156       0.93586252
  16.600000       0.15699269      -0.18621642       0.97077626
  16.650000       0.17605625      -0.16849266        1.0075636
  16.700000       0.18553999      -0.14137606        1.0441639
  16.750000       0.18513732      -0.10662226        1.0785151
  16.800000       0.17506563      -0.66394632E-01    1.1086710
  16.850000       0.15604453      -0.23130691E-01    1.1329138
  16.900000       0.12924812       0.20604713E-01    1.1498528
  16.950000       0.96234308E-01   0.62270704E-01    1.1585050
  17.000000       0.58855472E-01   0.99497260E-01    1.1583527
  17.050000       0.19155379E-01   0.13021924        1.1493746
  17.100000      -0.20741833E-01   0.15279002        1.1320482
  17.150000      -0.58744672E-01   0.16606852        1.1073239
  17.200000      -0.92903306E-01   0.16947517        1.0765719
  17.250000      -0.12150893       0.16301408        1.0415051
  17.300000      -0.14317847       0.14726094        1.0040825
  17.350000      -0.15692044       0.12331796       0.96639752
  17.400000      -0.16217891       0.92739145E-01   0.93056023
  17.450000      -0.15885375       0.57430932E-01   0.89857718
  17.500000      -0.14729642       0.19534359E-01   0.87223794
  17.550000      -0.12828228      -0.18703926E-01   0.85301379
  17.600000      -0.10296110      -0.55064118E-01   0.84197478
  17.650000      -0.72789055E-01  -0.87481414E-01   0.83972953
  17.700000      -0.39445937E-01  -0.11416250       0.84639156
  17.750000      -0.47424545E-02  -0.13368387       0.86157368
  17.800000       0.29477455E-01  -0.14506657       0.88441088
  17.850000       0.61433997E-01  -0.14782369       0.91361031
  17.900000       0.89503473E-01  -0.14197813       0.94752534
  17.950000       0.11230010      -0.12805059       0.98424952
  18.000000       0.12874364      -0.10701877        1.0217249
  18.050000       0.13810949      -0.80251005E-01    1.0578585
  18.100000       0.14005916      -0.49418627E-01    1.0906405
  18.150000       0.13464970      -0.16392571E-01    1.1182571
  18.200000       0.12232228       0.16869341E-01    1.1391916
  18.250000       0.10387081       0.48437766E-01    1.1523086
  18.300000       0.80392699E-01   0.76523067E-01    1.1569158
  18.350000       0.53224817E-01   0.99576039E-01    1.1528009
  18.400000       0.23868207E-01   0.11637250        1.1402407
  18.450000      -0.60941506E-02   0.12607720        1.1199831
