# data from ifeffit
#------------------------
#   k         chik      win_h0      win_h2      win_h4      win_h6
  14.950000       0.16476068E-02    0.0000000        0.0000000       0.45928397E-01   0.15582268
  15.000000       0.27938018E-01    0.0000000        0.0000000       0.38060221E-01   0.14644658
  15.050000       0.47847036E-01    0.0000000        0.0000000       0.30904321E-01   0.13731278
  15.100000       0.42226716E-01    0.0000000        0.0000000       0.24471733E-01   0.12842756
  15.150000       0.48154835E-01    0.0000000        0.0000000       0.18772375E-01   0.11979699
  15.200000       0.40076949E-01    0.0000000        0.0000000       0.13815035E-01   0.11142699
  15.250000       0.34801048E-01    0.0000000        0.0000000       0.96073564E-02   0.10332331
  15.300000       0.48590590E-01    0.0000000        0.0000000       0.61558276E-02   0.95491481E-01
  15.350000       0.40582354E-01    0.0000000        0.0000000       0.34657703E-02   0.87936886E-01
  15.400000       0.46887976E-02    0.0000000        0.0000000       0.15413326E-02   0.80664698E-01
  15.450000      -0.21437391E-01    0.0000000        0.0000000       0.38548174E-03   0.73679901E-01
  15.500000      -0.25947341E-01    0.0000000        0.0000000        0.0000000       0.66987283E-01
  15.550000      -0.24025526E-01    0.0000000        0.0000000        0.0000000       0.60591430E-01
  15.600000      -0.37051341E-01    0.0000000        0.0000000        0.0000000       0.54496725E-01
  15.650000      -0.53370281E-01    0.0000000        0.0000000        0.0000000       0.48707347E-01
  15.700000      -0.69692753E-01    0.0000000        0.0000000        0.0000000       0.43227261E-01
  15.750000      -0.63814192E-01    0.0000000        0.0000000        0.0000000       0.38060225E-01
  15.800000      -0.84750024E-01    0.0000000        0.0000000        0.0000000       0.33209779E-01
