# Results of near edge peak fit to "AII_45"
# Titles from AII_45
# .  Merge in e space of:
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.001c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.002c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.003c
# .
# Fitting range = [-10:2] (relative to centroid of step function)
# .
# Fit included 60 data points and 3 variables
# R-factor = 0.00122, chi-square = 0.00193, reduced chi-square = 0.0000332
# .
# function       centroid             amplitude        width
# ============================================================
# atan            7117.50(    1.12)  0.507( 0.071)  1.164( 0.038)
# gauss           7111.40(    0.00)  0.057( 0.000)  0.882( 0.000)
# gauss           7113.20(    0.00)  0.177( 0.000)  0.898( 0.000)
# .
# .
# The Gaussians and Lorentzians are unit normalized,
# so the amplitudes are the areas.
# Formulas:
# -  arctangent:       A*[atan((e-E0)/W)/pi + 0.5]
# -  error function:   A*[erf((e-E0)/W) + 1]
# -  Gaussian:         [A/(W*sqrt(2pi))] * exp[-(e-E0)^2/(2W^2)]
# -  Lorentzian:       (AW/2pi) / [(e-E0)^2 + (W/2)^2]
#------------------------
#   ee        norm       fun          step          peak1          peak2          resid
  7135.6000        1.1345201       0.49594819       0.49594819       0.86620763E-99   0.60595223E-99   0.63857187
  7135.8000        1.1337723       0.49606724       0.49606724       0.16765326E-99   0.22852414E-99   0.63770511
  7136.0000        1.1327702       0.49618366       0.49618366       0.30822726E-99   0.82013155E-99   0.63658651
  7136.2000        1.1321366       0.49629754       0.49629754       0.53826872E-99   0.28008682E-99   0.63583910
  7136.4000        1.1292951       0.49640895       0.49640895       0.89288657E-99   0.91024761E-99   0.63288618
  7136.6000        1.1269110       0.49651798       0.49651798       0.14068976E-99   0.28150372E-99   0.63039299
  7136.8000        1.1261201       0.49662470       0.49662470       0.21057061E-99   0.82845029E-99   0.62949538
  7137.0000        1.1244819       0.49672918       0.49672918       0.29936572E-99   0.23200989E-99   0.62775269
  7137.2000        1.1212342       0.49683150       0.49683150       0.40427365E-99   0.61830713E-99   0.62440274
  7137.4000        1.1207796       0.49693172       0.49693172       0.51858250E-99   0.15680494E-99   0.62384784
  7137.6000        1.1199582       0.49702990       0.49702990       0.63187232E-99   0.37841901E-99   0.62292828
  7137.8000        1.1140962       0.49712610       0.49712610       0.73132405E-99   0.86904820E-99   0.61697005
  7138.0000        1.1129807       0.49722040       0.49722040       0.80400627E-99   0.18992079E-99   0.61576034
