# Results of near edge peak fit to "AII_45"
# Titles from AII_45
# .  Merge in e space of:
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.001c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.002c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.003c
# .
# Fitting range = [-9:1] (relative to centroid of step function)
# .
# Fit included 50 data points and 5 variables
# R-factor = 0.00019, chi-square = 0.00016, reduced chi-square = 0.0000035
# .
# function       centroid             amplitude        width
# ============================================================
# atan            7117.50(    0.61)  0.471( 0.036)  1.258( 0.019)
# gauss           7113.25(    0.00)  0.144( 0.002)  0.750( 0.000)
# gauss           7111.50(    0.00)  0.057( 0.002)  0.750( 0.000)
# .
# .
# The Gaussians and Lorentzians are unit normalized,
# so the amplitudes are the areas.
# Formulas:
# -  arctangent:       A*[atan((e-E0)/W)/pi + 0.5]
# -  error function:   A*[erf((e-E0)/W) + 1]
# -  Gaussian:         [A/(W*sqrt(2pi))] * exp[-(e-E0)^2/(2W^2)]
# -  Lorentzian:       (AW/2pi) / [(e-E0)^2 + (W/2)^2]
#------------------------
#   ee        norm       fun          step          peak1          peak2          resid
  7130.2000        1.1487000       0.45617105       0.45617105       0.93963515E-112   0.30662534E-136   0.69252895
  7130.4000        1.1498609       0.45641176       0.45641176       0.21886161E-114   0.38334580E-139   0.69344918
  7130.6000        1.1507052       0.45664501       0.45664501       0.47478476E-117   0.44636508E-142   0.69406020
  7130.8000        1.1492565       0.45687112       0.45687112       0.95926983E-120   0.48406820E-145   0.69238542
  7131.0000        1.1487450       0.45709043       0.45709043       0.18051015E-122   0.48892216E-148   0.69165462
  7131.2000        1.1486775       0.45730323       0.45730323       0.31635837E-125   0.45992788E-151   0.69137422
  7131.4000        1.1491279       0.45750980       0.45750980       0.51638528E-128   0.40295503E-154   0.69161808
  7131.6000        1.1497640       0.45771043       0.45771043       0.78502812E-131   0.32880640E-157   0.69205353
  7131.8000        1.1470264       0.45790535       0.45790535       0.11115101E-133   0.24988534E-160   0.68912107
  7132.0000        1.1500711       0.45809481       0.45809481       0.14657451E-136   0.17687162E-163   0.69197628
  7132.2000        1.1445548       0.45827903       0.45827903       0.18001982E-139   0.11659833E-166   0.68627572
  7132.4000        1.1442087       0.45845824       0.45845824       0.20592024E-142   0.71588518E-170   0.68575042
  7132.6000        1.1426792       0.45863262       0.45863262       0.21937876E-145   0.40936550E-173   0.68404663
  7132.8000        1.1417900       0.45880237       0.45880237       0.21767420E-148   0.21801980E-176   0.68298763
  7133.0000        1.1427332       0.45896767       0.45896767       0.20115748E-151   0.10814277E-179   0.68376551
  7133.2000        1.1412247       0.45912870       0.45912870       0.17313395E-154   0.49959245E-183   0.68209597
  7133.4000        1.1407977       0.45928562       0.45928562       0.13878583E-157   0.21495675E-186   0.68151203
  7133.6000        1.1390324       0.45943858       0.45943858       0.10361553E-160   0.86139656E-190   0.67959385
