# data from ifeffit
#------------------------
#   energy      xmu       bkg       preline      normline
  7703.6156       0.67846950       0.67856814      -0.49097595       0.67718257
  7708.4798       0.67464653       0.67496972      -0.49376185       0.67367788
  7713.2742       0.67104998       0.67143425      -0.49650777       0.67024362
  7718.1637       0.66755233       0.66784017      -0.49930818       0.66676180
  7722.9579       0.66408205       0.66432748      -0.50205397       0.66336809
  7727.8347       0.66044004       0.66076567      -0.50484707       0.65993640
  7732.5775       0.65695607       0.65731269      -0.50756345       0.65661882
  7737.5818       0.65340505       0.65368104      -0.51042961       0.65313952
  7742.5161       0.64994630       0.65011195      -0.51325566       0.64973024
  7747.5722       0.64660500       0.64646681      -0.51615146       0.64625878
  7752.5197       0.64337565       0.64291171      -0.51898506       0.64288341
  7757.5764       0.63975819       0.63929005      -0.52188126       0.63945547
  7762.5372       0.63621214       0.63574889      -0.52472244       0.63611425
  7767.6332       0.63254284       0.63212314      -0.52764114       0.63270417
  7772.6331       0.62894814       0.62857766      -0.53050473       0.62938043
  7777.7041       0.62522191       0.62499356      -0.53340911       0.62603155
  7782.7174       0.62168299       0.62146204      -0.53628038       0.62274283
  7787.8021       0.61803105       0.61789205      -0.53919256       0.61942958
  7792.8288       0.61444701       0.61437445      -0.54207156       0.61617619
  7797.9272       0.61087522       0.61081854      -0.54499157       0.61289889
  7803.0195       0.60738239       0.60727873      -0.54790810       0.60964808
  7808.1707       0.60372821       0.60370993      -0.55085839       0.60638258
  7813.3029       0.60015494       0.60016625      -0.55379778       0.60315209
  7818.4682       0.59631041       0.59661170      -0.55675613       0.59992391
  7823.6536       0.59281970       0.59305534      -0.55972600       0.59670648
  7828.8461       0.58935127       0.58950614      -0.56269995       0.59350808
  7834.0982       0.58569031       0.58592843      -0.56570802       0.59029684
  7839.3445       0.58211015       0.58236689      -0.56871274       0.58711312
  7844.6637       0.57866931       0.57876819      -0.57175926       0.58390954
  7849.9510       0.57495503       0.57520346      -0.57478745       0.58074964
  7855.2851       0.57136306       0.57161948      -0.57784251       0.57758634
  7860.6927       0.56780225       0.56799876      -0.58093965       0.57440471
  7866.0156       0.56432983       0.56444720      -0.58398822       0.57129783
  7871.4385       0.56090345       0.56084140      -0.58709413       0.56815785
  7876.7896       0.55726179       0.55729571      -0.59015891       0.56508452
  7882.2412       0.55344788       0.55369604      -0.59328123       0.56197911
  7887.5942       0.55009604       0.55017373      -0.59634710       0.55895498
  7893.1012       0.54652588       0.54656277      -0.59950115       0.55586989
  7898.4962       0.54290135       0.54303766      -0.60259104       0.55287314
  7904.0189       0.53916292       0.53944169      -0.60575410       0.54983163
  7909.3892       0.53583298       0.53595717      -0.60882986       0.54689951
  7914.9679       0.53222891       0.53235013      -0.61202496       0.54388020
  7920.3670       0.52888994       0.52887144      -0.61511721       0.54098384
  7925.9482       0.52528431       0.52528797      -0.61831379       0.53801641
  7931.3762       0.52161227       0.52181510      -0.62142262       0.53515644
  7936.9870       0.51824615       0.51823791      -0.62463610       0.53222712
  7942.4576       0.51476574       0.51476234      -0.62776934       0.52939732
  7948.1656       0.51125544       0.51114882      -0.63103851       0.52647248
  7953.7469       0.50842068       0.50762816      -0.63423509       0.52364001
  7959.5394       0.50409937       0.50398738      -0.63755266       0.52072896
  7965.1778       0.50064550       0.50045620      -0.64078200       0.51792337
  7970.9875       0.49705535       0.49683088      -0.64410943       0.51506148
  7976.6155       0.49325269       0.49333157      -0.64733279       0.51231709
  7982.4016       0.49008791       0.48974685      -0.65064669       0.50952433
  7988.0872       0.48647120       0.48623705      -0.65390305       0.50680844
  7993.8222       0.48299046       0.48270940      -0.65718767       0.50409745
  7999.4836       0.47952640       0.47923942      -0.66043014       0.50144931
  8005.2492       0.47593433       0.47571813      -0.66373230       0.49878108
  8011.1743       0.47233161       0.47211252      -0.66712586       0.49606911
  8017.0398       0.46887057       0.46855629      -0.67048524       0.49341454
  8023.0106       0.46510950       0.46494949      -0.67390490       0.49074306
  8028.7975       0.46141359       0.46146645      -0.67721925       0.48818344
  8034.6758       0.45779190       0.45794107      -0.68058600       0.48561317
  8040.4110       0.45437074       0.45451387      -0.68387072       0.48313450
  8046.4039       0.45079886       0.45094552      -0.68730306       0.48057498
  8052.3644       0.44715324       0.44740943      -0.69071686       0.47806029
  8058.3757       0.44352635       0.44385624      -0.69415975       0.47555545
  8064.2849       0.43996143       0.44037604      -0.69754419       0.47312378
  8070.2031       0.43657830       0.43690309      -0.70093377       0.47071885
  8076.0885       0.43291200       0.43346180      -0.70430449       0.46835751
  8082.0665       0.42947161       0.42997882      -0.70772833       0.46598980
  8084.0938       0.42842774       0.42880049      -0.70888947       0.46519390
