# data from ifeffit
#------------------------
#   r         chir_mag      chir_mag      chir_real      chir_real
  8.3141759       0.22117530E-01   0.12943443E-02   -1.0122346      -0.99871149
  8.3448555       0.23596803E-01   0.13343510E-02  -0.99670079      -0.99894742
  8.3755351       0.25525111E-01   0.13608008E-02  -0.98124574      -0.99976564
  8.4062147       0.27091852E-01   0.13690457E-02  -0.97302511       -1.0007268
  8.4368943       0.27775729E-01   0.13730048E-02  -0.97631030       -1.0013223
  8.4675739       0.27484205E-01   0.13885951E-02  -0.99020813       -1.0012402
  8.4982536       0.26634720E-01   0.14164564E-02   -1.0087015       -1.0005248
  8.5289332       0.26181629E-01   0.14366278E-02   -1.0231400      -0.99954785
  8.5596128       0.27329012E-01   0.14187728E-02   -1.0261206      -0.99880838
  8.5902924       0.30732553E-01   0.13381953E-02   -1.0149804      -0.99866803
  8.6209720       0.35978449E-01   0.11898010E-02  -0.99324953      -0.99916310
  8.6516516       0.42018360E-01   0.10022509E-02  -0.96933225      -0.99999087
  8.6823313       0.47767098E-01   0.85803844E-03  -0.95297164       -1.0006757
  8.7130109       0.52340877E-01   0.87808462E-03  -0.95108492       -1.0008245
  8.7436905       0.55100783E-01   0.10788599E-02  -0.96484489       -1.0003362
  8.7743701       0.55653405E-01   0.13479066E-02  -0.98929061      -0.99945313
  8.8050497       0.53844170E-01   0.15808904E-02   -1.0155737      -0.99862964
  8.8357293       0.49742785E-01   0.17132840E-02   -1.0347528      -0.99828944
  8.8664090       0.43617080E-01   0.17097596E-02   -1.0413978      -0.99860078
  8.8970886       0.35894980E-01   0.15593966E-02   -1.0354474      -0.99938954
  8.9277682       0.27118977E-01   0.12759749E-02   -1.0216462       -1.0002350
  8.9584478       0.17908606E-01   0.90575903E-03   -1.0070241       -1.0006960
  8.9891274       0.90319975E-02   0.57782285E-03  -0.99771834       -1.0005464
  9.0198070       0.36964346E-02   0.61257277E-03  -0.99659815      -0.99989437
  9.0504866       0.89751234E-02   0.97122275E-03   -1.0026198      -0.99912239
  9.0811663       0.15161876E-01   0.13513258E-02   -1.0119319      -0.99868151
  9.1118459       0.20253057E-01   0.16392010E-02   -1.0199426      -0.99884934
  9.1425255       0.24154803E-01   0.17894003E-02   -1.0232445      -0.99958098
  9.1732051       0.27034316E-01   0.17859170E-02   -1.0205688       -1.0005317
  9.2038847       0.29186065E-01   0.16364270E-02   -1.0125917       -1.0012385
  9.2345643       0.30965376E-01   0.13724103E-02   -1.0010572       -1.0013641
  9.2652440       0.32725189E-01   0.10550904E-02  -0.98794382       -1.0008735
  9.2959236       0.34759097E-01   0.79749569E-03  -0.97518709       -1.0000502
  9.3266032       0.37264150E-01   0.76145107E-03  -0.96494095      -0.99934455
  9.3572828       0.40331093E-01   0.94609720E-03  -0.95987355      -0.99913573
  9.3879624       0.43955517E-01   0.11810045E-02  -0.96287853      -0.99953311
  9.4186420       0.48056140E-01   0.13587521E-02  -0.97593882       -1.0003221
  9.4493217       0.52492025E-01   0.14390139E-02  -0.99851799       -1.0010813
  9.4800013       0.57079749E-01   0.14167831E-02   -1.0263866       -1.0014083
  9.5106809       0.61614748E-01   0.13103356E-02   -1.0518544       -1.0011320
  9.5413605       0.65898183E-01   0.11558949E-02   -1.0658424       -1.0004007
  9.5720401       0.69766276E-01   0.10026441E-02   -1.0613072      -0.99959982
  9.6027197       0.73116216E-01   0.90103300E-03   -1.0366688      -0.99914401
  9.6333993       0.75921886E-01   0.87686217E-03  -0.99759454      -0.99925623
  9.6640790       0.78233617E-01   0.91332641E-03  -0.95598487      -0.99985051
  9.6947586       0.80158699E-01   0.97505674E-03  -0.92615385       -1.0005805
  9.7254382       0.81824124E-01   0.10404311E-02  -0.91950347       -1.0010266
  9.7561178       0.83329465E-01   0.11067200E-02  -0.93982689       -1.0009212
  9.7867974       0.84703765E-01   0.11779033E-02  -0.98130098       -1.0002920
  9.8174770       0.85881398E-01   0.12507774E-02   -1.0302051      -0.99944725
  9.8481567       0.86705639E-01   0.13093331E-02   -1.0698476      -0.99881202
  9.8788363       0.86957862E-01   0.13295057E-02   -1.0867837      -0.99870244
  9.9095159       0.86401438E-01   0.12888976E-02   -1.0758079      -0.99915906
  9.9401955       0.84827129E-01   0.11763734E-02   -1.0416949      -0.99992685
  9.9708751       0.82090055E-01   0.10014625E-02  -0.99703416       -1.0005921
